datetime,price
6/28/2017 4:10,2382.21
6/28/2017 4:10,2564.44
6/28/2017 4:11,2386
6/28/2017 4:11,2564.44
6/28/2017 4:12,2385.97
6/28/2017 4:12,2564.44
6/28/2017 4:13,2386
6/28/2017 4:13,2564.44
6/28/2017 4:14,2388
6/28/2017 4:14,2567.56
6/28/2017 4:15,2391.99
6/28/2017 4:15,2565.24
6/28/2017 4:16,2391.99
6/28/2017 4:16,2576.64
6/28/2017 4:17,2387.55
6/28/2017 4:17,2572.5
6/28/2017 4:18,2389.77
6/28/2017 4:18,2569.7
6/28/2017 4:19,2387.67
6/28/2017 4:19,2572.53
6/28/2017 4:20,2388
6/28/2017 4:20,2572.49
6/28/2017 4:21,2388.89
6/28/2017 4:21,2578.17
6/28/2017 4:22,2391.98
6/28/2017 4:22,2572.47
6/28/2017 4:23,2392.9
6/28/2017 4:23,2570.25
6/28/2017 4:24,2389.1
6/28/2017 4:24,2568.1
6/28/2017 4:25,2382.22
6/28/2017 4:25,2568.47
6/28/2017 4:26,2384.97
6/28/2017 4:26,2571.65
6/28/2017 4:27,2390.99
6/28/2017 4:27,2574.66
6/28/2017 4:28,2387
6/28/2017 4:28,2570.76
6/28/2017 4:29,2391.52
6/28/2017 4:29,2571.3
6/28/2017 4:30,2394.98
6/28/2017 4:30,2570.53
6/28/2017 4:31,2390.2
6/28/2017 4:31,2565.24
6/28/2017 4:32,2389.99
6/28/2017 4:32,2576.08
6/28/2017 4:33,2390.19
6/28/2017 4:33,2565.23
6/28/2017 4:34,2392.99
6/28/2017 4:34,2574.55
6/28/2017 4:35,2395
6/28/2017 4:35,2586.93
6/28/2017 4:36,2395.01
6/28/2017 4:36,2570.22
6/28/2017 4:37,2398
6/28/2017 4:37,2570.22
6/28/2017 4:38,2393.46
6/28/2017 4:38,2570.22
6/28/2017 4:39,2386.26
6/28/2017 4:39,2572.44
6/28/2017 4:40,2378.66
6/28/2017 4:40,2566.29
6/28/2017 4:41,2378.66
6/28/2017 4:41,2564.42
